,Pokemon_A,Pokemon_B,Winner
0,129,117,129
1,660,211,211
2,706,115,706
3,195,618,618
4,27,656,27
5,126,222,126
6,436,207,436
7,121,36,36
8,169,636,169
9,302,688,302
10,39,380,380
11,11,292,11
12,228,747,747
13,302,763,302
14,455,436,436
15,381,14,14
16,205,710,205
17,86,639,639
18,128,681,681
19,565,570,570
20,496,448,496
21,36,378,36
22,518,284,518
23,97,376,376
24,690,542,542
25,669,482,482
26,164,15,164
27,521,773,773
28,260,107,260
29,524,140,524
30,789,275,275
31,412,490,490
32,76,9,9
33,100,449,449
34,335,347,335
35,137,542,542
36,437,40,40
37,222,635,635
38,363,41,41
39,374,482,482
40,353,339,339
41,152,341,341
42,401,702,702
43,682,742,682
44,575,509,575
45,682,274,682
46,786,773,773
47,458,601,601
48,130,260,260
49,323,165,165
50,714,502,714
51,130,382,130
52,399,193,193
53,135,761,135
54,42,515,42
55,151,703,703
56,416,591,591
57,751,137,137
58,614,657,614
59,346,74,74
60,593,82,82
61,301,94,301
62,230,474,474
63,132,60,132
64,715,785,715
65,300,736,300
66,340,182,340
67,370,359,370
68,70,788,788
69,519,264,264
70,99,551,551
71,191,475,475
72,704,334,704
73,602,722,722
74,25,75,25
75,290,53,53
76,487,461,461
77,277,128,128
78,740,711,711
79,341,800,341
80,549,635,635
81,313,755,313
82,138,211,138
83,364,273,273
84,390,363,363
85,602,345,345
86,605,109,109
87,689,221,689
88,116,141,141
89,257,247,257
90,2,246,246
91,256,269,269
92,157,163,163
93,106,617,106
94,335,774,335
95,368,317,317
96,103,34,34
97,392,223,223
98,248,597,248
99,535,692,535
100,99,676,99
101,238,219,219
102,672,177,177
103,586,482,586
104,766,773,766
105,64,779,779
106,185,732,732
107,337,664,337
108,318,306,306
109,575,34,34
110,472,201,472
111,724,259,724
112,551,169,551
113,364,798,798
114,124,755,124
115,174,9,9
116,376,739,376
117,110,346,110
118,505,434,505
119,255,776,255
120,464,303,303
121,120,201,201
122,578,157,157
123,325,289,325
124,604,638,638
125,208,84,84
126,735,390,735
127,417,682,682
128,489,581,581
129,331,744,744
130,252,527,527
131,738,339,339
132,289,567,567
133,185,742,742
134,703,44,703
135,369,298,369
136,316,255,316
137,669,702,702
138,175,327,175
139,305,553,553
140,339,132,339
141,387,196,387
142,447,148,148
143,107,142,142
144,431,435,431
145,43,761,43
146,40,33,40
147,453,796,453
148,281,478,478
149,32,63,32
150,495,439,495
151,104,355,104
152,544,155,155
153,411,190,411
154,517,662,662
155,534,640,534
156,631,800,631
157,312,202,202
158,602,770,770
159,462,426,426
160,104,707,707
161,225,139,139
162,255,40,40
163,72,764,72
164,390,611,611
165,389,298,298
166,344,589,344
167,675,272,272
168,269,91,269
169,599,511,511
170,83,18,83
171,569,479,479
172,180,220,220
173,787,514,787
174,458,676,676
175,715,187,715
176,737,798,737
177,524,510,524
178,579,576,576
179,778,577,778
180,222,580,580
181,472,125,472
182,735,729,735
183,652,245,245
184,144,756,756
185,213,550,550
186,433,689,689
187,590,339,339
188,419,593,419
189,431,790,431
190,6,364,6
191,733,379,379
192,22,474,474
193,327,70,327
194,243,366,366
195,215,467,467
196,478,492,478
197,705,609,705
198,505,693,505
199,729,314,314
200,570,734,570
201,411,632,632
202,769,758,758
203,234,123,234
204,263,281,263
205,94,616,616
206,368,307,307
207,212,637,212
208,326,794,794
209,120,55,120
210,770,104,104
211,501,452,452
212,289,192,192
213,598,665,598
214,20,523,20
215,620,651,620
216,481,726,481
217,368,190,368
218,99,194,99
219,42,81,42
220,718,112,718
221,362,233,362
222,584,220,220
223,582,161,582
224,773,2,773
225,332,384,384
226,136,415,136
227,385,673,673
228,454,607,607
229,372,679,679
230,710,390,710
231,589,709,709
232,540,305,540
233,21,96,21
234,48,324,48
235,391,65,65
236,742,382,742
237,32,503,32
238,98,395,98
239,466,401,466
240,198,115,115
241,536,598,536
242,272,630,272
243,696,393,393
244,499,359,499
245,554,669,554
246,752,564,752
247,793,544,544
248,432,196,432
249,428,1,428
250,236,550,550
251,420,263,263
252,631,389,631
253,662,24,24
254,579,357,357
255,635,608,608
256,397,774,397
257,464,682,682
258,271,70,70
259,547,440,547
260,301,751,301
261,210,547,547
262,279,740,279
263,779,657,657
264,554,605,554
265,41,276,276
266,259,660,660
267,666,118,666
268,298,566,298
269,414,566,414
270,389,98,98
271,168,54,168
272,37,769,37
273,387,132,132
274,113,582,582
275,550,703,550
276,172,117,172
277,163,577,163
278,94,587,587
279,697,629,629
280,733,743,743
281,462,199,462
282,530,19,19
283,22,411,411
284,649,656,649
285,768,548,548
286,531,748,531
287,217,538,538
288,711,289,711
289,473,458,473
290,318,552,552
291,644,576,576
292,179,236,179
293,567,309,309
294,447,412,412
295,15,304,304
296,613,207,613
297,126,27,27
298,38,335,335
299,364,694,694
300,556,454,556
301,679,718,679
302,3,483,3
303,13,779,13
304,146,564,146
305,636,47,47
306,513,436,513
307,122,421,421
308,704,606,704
309,231,346,346
310,558,261,261
311,413,477,477
312,379,40,40
313,790,133,133
314,34,682,682
315,566,285,566
316,241,193,193
317,40,792,792
318,486,322,322
319,795,23,23
320,653,463,653
321,401,331,401
322,397,60,397
323,89,235,89
324,221,220,221
325,41,685,685
326,549,114,549
327,360,225,225
328,422,83,422
329,283,323,283
330,549,760,549
331,301,149,301
332,452,521,521
333,698,634,634
334,347,34,34
335,304,411,304
336,610,282,610
337,727,709,727
338,305,772,772
339,382,711,711
340,99,165,165
341,488,286,286
342,22,194,22
343,164,434,164
344,595,376,376
345,772,169,772
346,38,161,161
347,356,144,144
348,77,590,590
349,141,520,520
350,329,507,507
351,434,549,549
352,759,498,498
353,304,456,304
354,642,255,255
355,653,636,636
356,338,173,338
357,446,362,362
358,619,218,619
359,266,623,623
360,729,93,93
361,203,345,345
362,340,166,340
363,789,458,458
364,513,498,513
365,746,221,746
366,588,767,588
367,552,733,552
368,615,243,615
369,578,191,191
370,152,354,152
371,526,53,526
372,481,598,481
373,658,362,658
374,361,612,361
375,174,481,481
376,380,743,380
377,212,390,212
378,730,338,338
379,404,780,780
380,169,748,748
381,686,27,27
382,360,356,356
383,190,116,116
384,163,345,163
385,394,395,394
386,473,308,473
387,284,619,284
388,121,392,392
389,558,748,748
390,311,48,48
391,2,510,2
392,627,257,257
393,734,70,70
394,333,587,587
395,128,756,756
396,55,285,55
397,431,261,261
398,182,447,182
399,737,333,737
400,787,418,418
401,597,561,597
402,196,438,438
403,113,117,113
404,771,571,571
405,523,300,300
406,138,589,138
407,454,788,454
408,519,541,541
409,729,270,270
410,175,333,175
411,396,245,245
412,48,540,540
413,331,24,24
414,568,465,465
415,584,560,560
416,511,460,511
417,88,65,65
418,382,562,382
419,672,214,214
420,176,469,469
421,438,214,438
422,300,36,300
423,425,798,425
424,773,64,773
425,317,220,317
426,423,455,423
427,574,772,772
428,148,712,712
429,528,330,528
430,421,410,410
431,392,278,392
432,697,273,697
433,546,439,546
434,675,660,675
435,788,70,788
436,265,16,265
437,72,164,72
438,413,10,413
439,81,656,656
440,302,548,302
441,15,299,299
442,33,92,92
443,521,473,521
444,747,739,747
445,614,730,730
446,264,697,697
447,207,301,301
448,154,579,154
449,532,443,532
450,477,657,477
451,256,575,575
452,271,453,453
453,614,568,614
454,84,348,84
455,96,479,479
456,365,574,574
457,549,719,549
458,761,235,235
459,792,681,792
460,396,89,396
461,214,107,214
462,456,423,423
463,46,712,712
464,733,674,674
465,147,772,147
466,559,476,476
467,135,323,135
468,16,631,631
469,354,28,28
470,637,555,555
471,84,712,712
472,344,206,206
473,34,525,525
474,163,329,163
475,430,8,430
476,156,446,446
477,724,210,724
478,455,631,631
479,780,618,618
480,276,369,276
481,412,777,777
482,540,208,540
483,242,587,587
484,37,73,37
485,359,77,359
486,381,3,3
487,638,327,638
488,698,169,169
489,670,570,570
490,787,609,787
491,180,243,180
492,639,742,742
493,125,777,125
494,790,316,790
495,363,324,363
496,154,285,154
497,147,399,147
498,595,251,595
499,471,581,581
500,227,476,476
501,668,301,301
502,179,128,179
503,2,481,481
504,175,506,175
505,410,481,410
506,488,271,271
507,454,381,454
508,468,154,154
509,18,116,116
510,638,204,204
511,477,188,477
512,481,509,481
513,666,558,666
514,482,705,705
515,115,322,115
516,441,318,441
517,68,44,44
518,392,740,740
519,24,22,24
520,767,617,617
521,588,586,586
522,251,426,426
523,685,778,778
524,718,69,718
525,752,678,752
526,305,6,6
527,572,443,572
528,286,382,286
529,85,415,85
530,53,602,602
531,641,450,450
532,37,650,37
533,717,593,717
534,675,496,496
535,591,135,135
536,362,131,131
537,333,412,412
538,285,156,285
539,436,452,436
540,667,40,40
541,41,504,504
542,171,661,171
543,477,674,477
544,649,75,649
545,218,514,514
546,437,138,138
547,763,223,223
548,583,789,583
549,156,628,628
550,788,6,6
551,341,523,341
552,331,120,331
553,669,495,669
554,669,636,636
555,28,653,28
556,143,349,349
557,135,54,135
558,378,163,163
559,143,623,623
560,576,492,576
561,779,682,682
562,375,704,704
563,770,472,472
564,21,417,21
565,228,537,537
566,153,651,153
567,622,8,8
568,305,361,361
569,426,402,426
570,68,549,549
571,7,182,7
572,445,14,14
573,198,56,56
574,133,742,133
575,678,3,3
576,405,328,405
577,183,204,204
578,516,747,516
579,93,141,93
580,716,51,716
581,255,44,44
582,638,531,531
583,284,605,284
584,313,398,398
585,296,789,296
586,98,78,78
587,222,520,520
588,506,428,428
589,786,686,786
590,479,694,694
591,525,299,299
592,721,293,293
593,350,279,350
594,473,319,473
595,468,144,144
596,161,702,702
597,687,758,758
598,447,451,451
599,647,654,647
600,228,7,7
601,784,678,784
602,90,668,90
603,708,204,708
604,795,406,795
605,201,686,686
606,125,722,125
