,0
0,117
1,660
2,115
3,195
4,656
5,222
6,207
7,121
8,636
9,688
10,39
11,292
12,228
13,763
14,455
15,381
16,710
17,86
18,128
19,565
20,448
21,378
22,284
23,97
24,690
25,669
26,15
27,521
28,107
29,140
30,789
31,412
32,76
33,449
34,347
35,137
36,437
37,222
38,363
39,374
40,353
41,152
42,401
43,742
44,509
45,274
46,786
47,458
48,260
49,323
50,502
51,382
52,399
53,761
54,515
55,151
56,416
57,751
58,657
59,346
60,593
61,94
62,230
63,60
64,785
65,736
66,182
67,359
68,70
69,519
70,99
71,191
72,334
73,602
74,75
75,290
76,487
77,277
78,740
79,800
80,549
81,755
82,211
83,364
84,390
85,602
86,109
87,221
88,116
89,247
90,2
91,256
92,157
93,617
94,774
95,368
96,34
97,392
98,597
99,692
100,676
101,238
102,672
103,482
104,773
105,779
106,185
107,664
108,318
109,575
110,201
111,259
112,169
113,364
114,755
115,174
116,739
117,346
118,434
119,776
120,464
121,120
122,578
123,289
124,604
125,208
126,390
127,417
128,489
129,331
130,252
131,738
132,289
133,185
134,44
135,298
136,255
137,669
138,327
139,305
140,132
141,196
142,447
143,107
144,435
145,761
146,33
147,796
148,281
149,63
150,439
151,104
152,544
153,190
154,662
155,640
156,800
157,312
158,602
159,462
160,104
161,225
162,255
163,764
164,390
165,389
166,589
167,675
168,91
169,599
170,18
171,569
172,180
173,514
174,458
175,187
176,798
177,510
178,579
179,577
180,222
181,125
182,729
183,652
184,144
185,213
186,433
187,590
188,593
189,431
190,364
191,733
192,22
193,327
194,243
195,215
196,492
197,609
198,693
199,729
200,734
201,411
202,769
203,123
204,281
205,94
206,368
207,637
208,326
209,120
210,770
211,501
212,289
213,665
214,523
215,620
216,726
217,190
218,194
219,81
220,112
221,233
222,584
223,161
224,2
225,332
226,415
227,385
228,454
229,372
230,390
231,589
232,305
233,96
234,324
235,391
236,382
237,503
238,395
239,401
240,198
241,598
242,630
243,696
244,359
245,669
246,564
247,793
248,196
249,1
250,236
251,420
252,631
253,662
254,579
255,635
256,774
257,464
258,271
259,440
260,301
261,210
262,740
263,779
264,605
265,41
266,259
267,118
268,566
269,566
270,389
271,54
272,769
273,387
274,113
275,703
276,117
277,577
278,94
279,697
280,733
281,199
282,530
283,22
284,656
285,768
286,748
287,217
288,289
289,458
290,318
291,644
292,236
293,567
294,447
295,15
296,207
297,126
298,38
299,364
300,454
301,718
302,483
303,779
304,564
305,636
306,436
307,122
308,606
309,231
310,558
311,413
312,379
313,790
314,34
315,285
316,241
317,40
318,486
319,795
320,463
321,331
322,60
323,235
324,220
325,41
326,114
327,360
328,83
329,323
330,760
331,149
332,452
333,698
334,347
335,411
336,282
337,709
338,305
339,382
340,99
341,488
342,194
343,434
344,595
345,169
346,38
347,356
348,77
349,141
350,329
351,434
352,759
353,456
354,642
355,653
356,173
357,446
358,218
359,266
360,729
361,203
362,166
363,789
364,498
365,221
366,767
367,733
368,243
369,578
370,354
371,53
372,598
373,362
374,612
375,174
376,743
377,390
378,730
379,404
380,169
381,686
382,360
383,190
384,345
385,395
386,308
387,619
388,121
389,558
390,311
391,510
392,627
393,734
394,333
395,128
396,285
397,431
398,447
399,333
400,787
401,561
402,196
403,117
404,771
405,523
406,589
407,788
408,519
409,729
410,333
411,396
412,48
413,331
414,568
415,584
416,460
417,88
418,382
419,672
420,176
421,214
422,36
423,798
424,64
425,220
426,455
427,574
428,148
429,330
430,421
431,278
432,273
433,439
434,675
435,70
436,16
437,164
438,10
439,81
440,548
441,15
442,33
443,473
444,739
445,730
446,697
447,207
448,579
449,443
450,657
451,256
452,271
453,568
454,348
455,96
456,365
457,719
458,761
459,681
460,89
461,107
462,456
463,46
464,733
465,772
466,559
467,323
468,16
469,354
470,637
471,84
472,344
473,34
474,329
475,8
476,156
477,210
478,455
479,780
480,369
481,412
482,208
483,242
484,73
485,77
486,381
487,327
488,698
489,670
490,787
491,243
492,639
493,777
494,316
495,324
496,285
497,399
498,251
499,471
500,227
501,668
502,128
503,2
504,506
505,481
506,488
507,381
508,468
509,18
510,638
511,188
512,509
513,558
514,482
515,322
516,318
517,68
518,392
519,22
520,767
521,588
522,251
523,685
524,69
525,678
526,305
527,443
528,286
529,415
530,53
531,641
532,650
533,593
534,675
535,591
536,362
537,333
538,156
539,452
540,667
541,41
542,661
543,674
544,75
545,218
546,437
547,763
548,789
549,156
550,788
551,523
552,120
553,669
554,669
555,653
556,143
557,54
558,378
559,143
560,492
